n	name	score	cards	games	flags	short	alt1
62	Poliwrath	7.9	3	2		Although an energetic, skilled swimmer that uses all of its muscles, it lives on dry land.	With its extremely tough muscles, it can keep swimming in the Pacific Ocean without resting.
63	Abra	7.9	3	2		Using its ability to read minds, it will identify impending danger and teleport to safety.	Abra can teleport in its sleep. Apparently the more deeply Abra sleeps, the farther its teleportations go.
64	Kadabra	6.0	3	0		It emits special alpha waves from its body that induce headaches even to those just nearby.	This Pokémon's telekinesis is immensely powerful.
65	Alakazam	7.9	3	2		Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000.	It has an incredibly high level of intelligence.
66	Machop	8.5	3	3		Its whole body is composed of muscles. Even though it's the size of a human child, it can hurl 100 grown-ups.	Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67	Machoke	9.1	3	5		Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.	Its formidable body never gets tired. It helps people by doing work such as the moving of heavy goods.
68	Machamp	9.96	5	3		It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.	Its four ruggedly developed arms can launch a flurry of 1,000 punches in just two seconds.
69	Bellsprout	9.96	5	3		Even though its body is extremely skinny, it is blindingly fast when catching its prey.	Its bud looks like a human face. Because of the bud, it is rumored to be a type of legendary mandrake plant.
70	Weepinbell	9.9	4	4		It spits out Poison Powder to immobilize the enemy and then finishes it with a spray of Acid.	The leafy parts act as cutters for slashing foes.
71	Victreebel	11.12	6	4		Said to live in huge colonies deep in jungles, although no one has ever returned from there.	Once ingested into this Pokémon's body, even the hardest object will melt into nothing.
72	Tentacool	6.86	2	2		Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.	Drifts in shallow seas. Anglers who hook them by accident are often punished by their stingers.
73	Tentacruel	6.6	1	4		The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.	In battle, it extends all 80 of its tentacles to entrap its opponent inside a poisonous net.
74	Geodude	9.9	4	4		Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.	At rest, it looks just like a rock. Carelessly stepping on it will make it swing its fists angrily.
75	Graveler	8.5	3	3		With a free and uncaring nature, it doesn't mind if pieces break off while it rolls down mountains.	Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76	Golem	6.86	2	2		Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.	It tumbles down mountains, leaving grooves from peak to base.
77	Ponyta	10.9	7	6		As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster.	About an hour after birth, its fiery mane and tail grow out, giving it an impressive appearance.
78	Rapidash	10.56	5	4		Very competitive, this Pokémon will chase anything that moves fast in the hopes of racing it.	It gallops at nearly 150 mph. With its mane blazing ferociously, it races as if it were an arrow.
79	Slowpoke	9.96	5	3		It lazes vacantly near water. If something bites its tail, it won't even notice for a whole day.	It is always vacantly lost in thought, but no one knows what it is thinking about.
80	Slowbro	5.36	2	7	names:Shellder	Though usually dim witted, it seems to become inspired if the Shellder on its tail bites down.	Naturally dull to begin with, it lost its ability to feel pain due to Shellder's seeping poison.
81	Magnemite	7.9	3	2		It moves while constantly hovering. It discharges Thunder Wave and so on from the units at its sides.	It sends out electromagnetic waves, which let it float through the air.
82	Magneton	6.9	3	2		Formed by several Magnemites linked together.	Generates strange radio signals. It raises the temperature by 3.6 degrees Fahrenheit within 3,300 feet.
83	Farfetch’d	8.4	3	7		It can't live without the stalk it holds. That's why it defends the stalk from attackers with its life.	The plant stalk it holds is its weapon. The stalk is used like a sword to cut all sorts of things.
84	Doduo	10.9	7	8		The brains in its two heads appear to communicate emotions to each other with a telepathic power.	A bird that makes up for its poor flying with its fast foot speed.
85	Dodrio	8.7	4	2		An odd species that is rarely found. The three heads respectively represent joy, sadness, and anger.	Uses its three brains to execute complex plans.
86	Seel	7.36	2	6		A Pokémon that lives on icebergs. It swims in the sea using the point on its head to break up ice.	Thanks to its thick fat, cold seas don't bother it at all, but it gets tired pretty easily in warm waters.
87	Dewgong	7.9	3	2		Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.	In snow, the pure white coat covering its body obscures it from predators.
88	Grimer	7.4	3	5		It was born when sludge in a dirty stream was exposed to the moon's X-rays.	Born from sludge, these Pokémon now gather in polluted places and increase the bacteria in their bodies.
89	Muk	8.5	3	3		Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.	Its body is made of a powerful poison. Touching it accidentally will cause a fever that requires bed rest.
90	Shellder	9.9	4	5		Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.	Clamping on to an opponent reveals its vulnerable parts, so it uses this move only as a last resort.
91	Cloyster	8.5	3	3		Cloyster that live in seas with harsh tidal currents grow large, sharp spikes on their shells.	Once it slams its shell shut, it is impossible to open, even by those with superior strength.
92	Gastly	10.9	7	7		Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison.	It wraps its opponent in its gas-like body, slowly weakening its prey by poisoning it through the skin.
93	Haunter	9.96	5	3		Because of its ability to slip through block walls, it is said to be from another dimension.	It likes to lurk in the dark and tap shoulders with a gaseous hand.
94	Gengar	8.7	4	2		On the night of a full moon, if shadows move on their own and laugh, it must be Gengar's doing.	The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.
95	Onix	9.96	5	3		It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body.	It twists and squirms through the ground. The thunderous roar of its tunneling echoes a long way.
96	Drowzee	6.86	2	2		It remembers every dream it eats. It rarely eats the dreams of adults because children's are much tastier.	When it twitches its nose, it can tell where someone is sleeping and what that person is dreaming about.
97	Hypno	9.3	4	3		When it locks eyes with an enemy, it will use a mix of psi moves such as Hypnosis and Confusion.	Seeing its swinging pendulum can induce sleep in three seconds, even in someone who just woke up.
98	Krabby	9.9	4	4		If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.	It can be found near the sea. The large pincers grow back if they are torn out of their sockets.
99	Kingler	5.4	1	2		Its oversized claw is very powerful, but when it's not in battle, the claw just gets in the way.	Its large and hard pincer has 10,000-horsepower strength.
100	Voltorb	10.82	8	2		Usually found in power plants. Easily mistaken for a Poké Ball, it has zapped many people.	It looks just like a Poké Ball. It is dangerous because it may electrocute or explode on touch.
101	Electrode	9.86	5	7		It is known to drift on winds if it is bloated to bursting with stored electricity.	It stores an overflowing amount of electric energy inside its body.
102	Exeggcute	8.4	3	8		Its six eggs converse using telepathy. They can quickly gather if they become separated.	Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.
103	Exeggutor	7.2	4	8	names:Exeggcute	It is called "The Walking Jungle." If a head grows too big, it falls off and becomes an Exeggcute.	Legend has it that on rare occasions, one of its heads will drop off and continue on as an Exeggcute.
104	Cubone	7.46	2	3		Because it never removes its skull helmet, no one has ever seen this Pokémon's real face.	When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly.
105	Marowak	9.9	4	4		The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to K.O. targets.	From its birth, this savage Pokémon constantly holds bones.
106	Hitmonlee	9.96	5	3		The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.	If it starts kicking repeatedly, both legs will stretch even longer to strike a fleeing foe.
107	Hitmonchan	10.52	6	3		Its punches slice the air. However, it seems to need a short break after fighting for three minutes.	The arm-twisting punches it throws pulverize even concrete.
108	Lickitung	7.46	2	3		Its long tongue, slathered with a gooey saliva, sticks to anything, so it is very useful.	It checks out whatever's around it by licking everything.
109	Koffing	8.36	5	2		Its thin, balloon-like body is inflated by horribly toxic gases.	Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash.
110	Weezing	6.96	5	3	names:Koffing	If one of the twin Koffing inflates, the other one deflates.	Very rarely, a sudden mutation can result in two small Koffing twins becoming conjoined as a Weezing.
111	Rhyhorn	10.52	6	3		Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging Tackles.	It is inept at turning because of its four short legs.
112	Rhydon	9.96	5	3		Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees Fahrenheit.	Protected by an armor-like hide, it is capable of living in molten lava of 3600 degrees.
113	Chansey	8.4	3	5		A kindly Pokémon that lays highly nutritious eggs and shares them with injured Pokémon or people.	It walks carefully to prevent its egg from breaking.
114	Tangela	9.96	5	3		It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.	Many writhing vines cover it, so its true identity remains unknown.
115	Kangaskhan	7.3	3	1		The infant rarely ventures out of its mother's protective pouch until it is three years old.	If it is safe, the young gets out of the belly pouch to play.
116	Horsea	10.9	7	8		It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees.	Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117	Seadra	7.9	3	2		It is capable of swimming backwards by rapidly flapping its winglike pectoral fins and stout tail.	Its spines provide protection. Its fins and bones are prized as traditional medicine ingredients.
118	Goldeen	9.56	5	4		Its dorsal, pectoral and tail fins wave elegantly in water.	Though it appears very elegant when swimming with fins unfurled, it can jab powerfully with its horn.
119	Seaking	8.5	3	3		Using its horn, it bores holes in riverbed boulders, making nests to prevent its eggs from washing away.	In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks.
120	Staryu	9.36	5	2		It appears in large numbers by seashores. At night, its central core flashes with a red light.	An enigmatic Pokémon that can effortlessly regenerate any appendage it loses in battle.
121	Starmie	9.2	4	6		At the center of its body is a red core, which sends mysterious radio signals into the night sky.	Its central core glows with the seven colors of the rainbow.
122	Mr. Mime	8.7	4	2		It is adept at conning people. It is said to be able to create walls out of thin air by miming.	It shapes an invisible wall in midair by minutely vibrating its fingertips to stop molecules in the air.
123	Scyther	9.96	5	3		It slashes through grass with its sharp scythes, moving too fast for the human eye to track.	The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.
124	Jynx	6.86	2	2		It rocks its body rhythmically. It appears to alter the rhythm depending on how it is feeling.	It wiggles its hips as it walks. It can cause people to dance in unison with it.
125	Electabuzz	7.9	3	2		It loves to feed on strong electricity. It occasionally appears around large power plants and so on.	Normally found near power plants, it can wander away and cause major blackouts in cities.
126	Magmar	7.9	3	2		Its body always burns with an orange glow that enables it to hide perfectly among flames.	It dislikes cold places, so it blows scorching flames to make the environment suitable for itself.
127	Pinsir	7.4	3	6		It grips prey with its pincers until the prey is torn in half.	If it fails to crush the victim in its pincers, it will swing its victim around and toss it hard.
128	Tauros	9.3	4	3		When it targets an enemy, it charges furiously while whipping its body with its long tails.	After heightening its will to fight by whipping itself with its three tails, it charges at full speed.
129	Magikarp	9.9	4	4		In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.	An underpowered, pathetic Pokémon. It may jump high on rare occasions, but never more than seven feet.
130	Gyarados	12.02	8	4		Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.	Once it appears, it goes on a rampage. It remains enraged until it demolishes everything around it.
131	Lapras	8.2	4	5		It loves crossing the sea with people and Pokémon on its back.	Crossing icy seas is no issue for this cold-resistant Pokémon.
132	Ditto	7.9	3	2		Its transformation ability is perfect. However, if made to laugh, it can't maintain its disguise.	It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.
133	Eevee	13.17	14	4		Thanks to its unstable genetic makeup, this special Pokémon conceals many different possible evolutions.	It has the ability to alter the composition of its body to suit its surrounding environment.
134	Vaporeon	9.96	5	3		When Vaporeon's fins begin to vibrate, it is a sign that rain will come within a few hours.	Its cell composition is similar to water molecules.
135	Jolteon	7.9	3	2		It concentrates the weak electric charges emitted by its cells and launches wicked lightning bolts.	If it is angered or startled, the fur all over its body bristles like sharp needles that pierce foes.
136	Flareon	7.9	3	2		When storing thermal energy in its body, its temperature could soar to over 1600 degrees.	Inhaled air is heated in the flame sac in its body to an intense fire over 3,000 degrees Fahrenheit.
137	Porygon	5.86	2	2		A Pokémon that consists entirely of programming code.	Roughly 20 years ago, it was artificially created, utilizing the latest technology of the time.
138	Omanyte	7.46	2	3		Revived from an ancient fossil, this Pokémon uses air stored in its shell to sink and rise in water.	Although long extinct, in rare cases, it can be genetically resurrected from fossils.
139	Omastar	7.36	2	7		It is thought that this Pokémon became extinct because its spiral shell grew too large.	Once wrapped around its prey, it never lets go.
140	Kabuto	6.86	2	2		A Pokémon that was resurrected from a fossil found in what was once the ocean floor eons ago.	It is thought to have inhabited beaches 300 million years ago.
141	Kabutops	7.9	3	2		Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.	It is thought that this Pokémon came onto land because its prey adapted to life on land.
142	Aerodactyl	7.46	2	3		A ferocious prehistoric Pokémon that goes for the enemy's throat with its serrated saw-like fangs.	A Pokémon that roamed the skies in the dinosaur era.
143	Snorlax	12.27	14	3		It is not satisfied unless it eats over 880 pounds of food every day.	Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.
144	Articuno	11.6	7	4		A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.	A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.
145	Zapdos	10.7	9	8		A legendary Pokémon that is said to live in thunderclouds.	A legendary bird Pokémon that is said to appear from clouds while dropping enormous lightning bolts.
146	Moltres	10.9	7	8		One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.	Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
147	Dratini	8.5	3	3		Long considered a mythical Pokémon until recently, when a small colony was found living underwater.	It is called the "Mirage Pokémon" because so few have seen it.
148	Dragonair	8.2	4	7		If its body takes on an aura, the weather changes instantly.	Its crystalline orbs appear to give this Pokémon the power to freely control the weather.
149	Dragonite	8.86	5	8		It is said to make its home somewhere in the sea.	An extremely rarely seen marine Pokémon. Its intelligence is said to match that of humans.
150	Mewtwo	11.05	10	8		A Pokémon created by recombining Mew's genes.	It was created by a scientist after years of horrific gene-splicing and DNA-engineering experiments.
151	Mew	10.52	6	3		Its DNA is said to contain the genetic codes of all Pokémon, so it can use all kinds of techniques.	Because it can use all kinds of moves, many scientists believe Mew to be the ancestor of Pokémon.
152	Chikorita	8.86	5	8		It uses the leaf on its head to determine the temperature and humidity.	A sweet aroma gently wafts from the leaf on its head.
153	Bayleef	9.1	3	4		A spicy aroma emanates from around its neck. The aroma acts as a stimulant to restore health.	The buds that ring its neck give off a spicy aroma that perks people up.
154	Meganium	9.56	5	4		Meganium's breath has the power to revive dead grass and plants.	The aroma that rises from its petals contains a substance that calms aggressive feelings.
155	Cyndaquil	9.86	5	8		It has a timid nature. If it is startled, the flames on its back burn more vigorously.	It usually stays hunched over. If it is angry or surprised, it shoots flames out of its back.
156	Quilava	8.1	3	4	override	Be careful if it turns its back during battle. It means that it will attack with the fire on its back.	This Pokémon is fully covered by nonflammable fur.
157	Typhlosion	11.12	6	4		It has a secret, devastating move. It rubs its blazing fur together to cause huge explosions.	If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.
158	Totodile	12.02	8	4		It is small but rough and tough. It won't hesitate to take a bite out of anything that moves.	Its powerful, well-developed jaws are capable of crushing anything.
159	Croconaw	10.6	7	4		If it loses a fang, a new one grows back in its place.	Once it bites down, it won't let go until it loses its fangs.
160	Feraligatr	9.96	5	3		When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up.	It usually moves slowly, but it goes at blinding speed when it attacks and bites prey.
161	Sentret	7.46	2	3		A very cautious Pokémon, it raises itself up using its tail to get a better view of its surroundings.	It has a very nervous nature. It stands up high on its tail so it can scan wide areas.
162	Furret	8.1	3	4		It makes a nest to suit its long and skinny body.	The mother puts its offspring to sleep by curling up around them.
163	Hoothoot	9.9	4	5		It always stands on one foot. It changes feet so fast, the movement can rarely be seen.	It has a perfect sense of time. Whatever happens, it keeps rhythm by precisely tilting its head in time.
164	Noctowl	9.9	4	5		When it needs to think, it rotates its head 180 degrees to sharpen its intellectual power.	Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.
165	Ledyba	7.46	2	3		When the weather turns cold, lots of Ledyba gather from everywhere to cluster and keep each other warm.	It is so timid, it can't move if it isn't with a swarm of others.
166	Ledian	8.06	2	4		When the stars flicker in the night sky, it flutters about, scattering a glowing powder.	It uses starlight as energy. When more stars appear at night, the patterns on its back grow larger.
167	Spinarak	9.1	3	4		It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close.	It spins a web using fine – but durable – thread.
168	Ariados	7.06	5	1		It spews threads from its mouth to catch its prey.	It attaches silk to its prey and sets it free.
169	Crobat	8.06	2	4		It flies so silently through the dark on its four wings that it may not be noticed even when nearby.	Having four wings allows it to fly more quickly and quietly so it can sneak up on prey without its noticing.
170	Chinchou	10.56	5	5		On the dark ocean floor, its only means of communication is its constantly flashing lights.	It discharges positive and negative electricity from its antenna tips to shock its foes.
171	Lanturn	9.1	3	4		The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.	This Pokémon flashes a bright light that blinds its prey.
172	Pichu	7.06	2	4		Despite its small size, it can zap even adult humans.	The electric sacs in its cheeks are small. If even a little electricity leaks, it becomes shocked.
173	Cleffa	13.06	11	5		Because of its unusual, star-like silhouette, people believe that it came here on a meteor.	Its silhouette is like a star. It is believed to arrive riding on shooting stars.
174	Igglybuff	7.46	2	3		Its extremely flexible and elastic body makes it bounce continuously—anytime, anywhere.	It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop.
175	Togepi	9.9	4	4		A proverb claims that happiness will come to anyone who can make a sleeping Togepi stand up.	The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
176	Togetic	9.76	5	5	deictic	They say that it will appear before kindhearted, caring people and shower them with happiness.	It grows dispirited if it is not with kind people.
177	Natu	10.56	5	4		It usually forages for food on the ground but may, on rare occasions, hop onto branches to peck at shoots.	Because its wings aren't yet fully grown, it has to hop to get around.
178	Xatu	9.76	5	5	deictic	They say that it stays still and quiet because it is seeing both the past and future at the same time.	This odd Pokémon can see both the past and the future.
179	Mareep	8.7	4	2		It stores lots of air in its soft fur, allowing it to stay cool in summer and warm in winter.	Its fleece grows continually. In the summer, the fleece is fully shed, but it grows back in a week.
180	Flaaffy	9.42	6	6		If its coat becomes fully charged with electricity, its tail lights up.	As a result of storing too much electricity, it developed patches where even downy wool won't grow.
181	Ampharos	10.6	7	5		The tail's tip shines brightly and can be seen from far away.	The tip of its tail shines brightly. In the olden days, people sent signals using the tail's light.
182	Bellossom	8.4	3	8		When the heavy rainfall season ends, it is drawn out by warm sunlight to dance in the open.	Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.
183	Marill	8.7	4	2		The fur on its body naturally repels water. It can stay dry, even when it plays in the water.	The tip of its tail is filled with oil that is lighter than water, so it acts as a float.
